SensorID,Timestamp,ReadingValue
2,2020-01-05 11:00:00+00:00,138.66
2,2020-01-05 11:30:00+00:00,136.13
2,2020-01-05 12:00:00+00:00,135.58
2,2020-01-05 12:30:00+00:00,137.61
2,2020-01-05 13:00:00+00:00,138.36
2,2020-01-05 13:30:00+00:00,141.3
2,2020-01-05 14:00:00+00:00,136.38
2,2020-01-05 14:30:00+00:00,141.66
2,2020-01-05 15:00:00+00:00,142.06
2,2020-01-05 15:30:00+00:00,136.6
2,2020-01-05 16:00:00+00:00,141.07
2,2020-01-05 16:30:00+00:00,142.81
2,2020-01-05 17:00:00+00:00,190.05
2,2020-01-05 17:30:00+00:00,190.82
2,2020-01-05 18:00:00+00:00,188.3
2,2020-01-05 18:30:00+00:00,190.7
2,2020-01-05 19:00:00+00:00,191.58
2,2020-01-05 19:30:00+00:00,189.33
2,2020-01-05 20:00:00+00:00,189.62
2,2020-01-05 20:30:00+00:00,187.9
2,2020-01-05 21:00:00+00:00,189.76
2,2020-01-05 21:30:00+00:00,165.01
2,2020-01-05 22:00:00+00:00,165.01
2,2020-01-05 22:30:00+00:00,144.06
2,2020-01-05 23:00:00+00:00,164.54
2,2020-01-05 23:30:00+00:00,153.15
1,2020-01-06 00:00:00+00:00,140.49
1,2020-01-06 00:30:00+00:00,132.57
1,2020-01-06 01:00:00+00:00,136.03
1,2020-01-06 01:30:00+00:00,129.73
1,2020-01-06 03:00:00+00:00,124.5
1,2020-01-06 03:30:00+00:00,124.69
1,2020-01-06 04:00:00+00:00,133.71
1,2020-01-06 04:30:00+00:00,137.95
1,2020-01-06 05:00:00+00:00,140.31
1,2020-01-06 05:30:00+00:00,136.24
1,2020-01-06 06:00:00+00:00,165.01
1,2020-01-06 06:30:00+00:00,185.0
1,2020-01-06 07:00:00+00:00,165.01
1,2020-01-06 07:30:00+00:00,165.01
1,2020-01-06 08:00:00+00:00,165.01
1,2020-01-06 08:30:00+00:00,165.01
1,2020-01-06 09:00:00+00:00,165.01
1,2020-01-06 09:30:00+00:00,157.59
2,2020-01-06 10:00:00+00:00,156.22
2,2020-01-06 10:30:00+00:00,133.39
2,2020-01-06 11:00:00+00:00,133.18
2,2020-01-06 11:30:00+00:00,135.2
2,2020-01-06 12:00:00+00:00,141.8
2,2020-01-06 12:30:00+00:00,142.79
2,2020-01-06 13:00:00+00:00,142.31
2,2020-01-06 13:30:00+00:00,139.62
2,2020-01-06 14:00:00+00:00,142.41
2,2020-01-06 14:30:00+00:00,147.81
2,2020-01-06 15:00:00+00:00,165.01
2,2020-01-06 15:30:00+00:00,165.01
2,2020-01-06 16:00:00+00:00,157.35
2,2020-01-06 16:30:00+00:00,165.01
2,2020-01-06 17:00:00+00:00,188.3
2,2020-01-06 17:30:00+00:00,188.3
2,2020-01-06 18:00:00+00:00,195.8
2,2020-01-06 18:30:00+00:00,195.8
2,2020-01-06 19:00:00+00:00,195.8
2,2020-01-06 19:30:00+00:00,188.3
2,2020-01-06 20:00:00+00:00,195.8
2,2020-01-06 20:30:00+00:00,195.8
2,2020-01-06 21:00:00+00:00,188.3
2,2020-01-06 21:30:00+00:00,188.3
2,2020-01-06 22:00:00+00:00,155.0
2,2020-01-06 22:30:00+00:00,155.0
2,2020-01-06 23:00:00+00:00,155.0
2,2020-01-06 23:30:00+00:00,165.01
1,2020-01-07 00:00:00+00:00,163.29
1,2020-01-07 00:30:00+00:00,165.01
1,2020-01-07 01:00:00+00:00,155.53
1,2020-01-07 01:30:00+00:00,155.57
1,2020-01-07 02:00:00+00:00,148.12
1,2020-01-07 02:30:00+00:00,140.42
1,2020-01-07 03:00:00+00:00,139.18
1,2020-01-07 03:30:00+00:00,139.34
1,2020-01-07 04:00:00+00:00,139.46
1,2020-01-07 04:30:00+00:00,121.08
1,2020-01-07 05:00:00+00:00,140.23
1,2020-01-07 05:30:00+00:00,150.98
1,2020-01-07 06:00:00+00:00,153.43
1,2020-01-07 06:30:00+00:00,153.32
1,2020-01-07 07:00:00+00:00,162.49
1,2020-01-07 07:30:00+00:00,161.48
1,2020-01-07 08:00:00+00:00,161.82
1,2020-01-07 08:30:00+00:00,162.74
1,2020-01-07 09:00:00+00:00,153.83
1,2020-01-07 09:30:00+00:00,153.44
2,2020-01-07 10:00:00+00:00,153.72
2,2020-01-07 10:30:00+00:00,152.26
2,2020-01-07 11:00:00+00:00,152.11
2,2020-01-07 11:30:00+00:00,151.97
2,2020-01-07 12:00:00+00:00,153.67
2,2020-01-07 12:30:00+00:00,158.12
2,2020-01-07 13:00:00+00:00,164.59
2,2020-01-07 13:30:00+00:00,165.01
2,2020-01-07 14:00:00+00:00,163.48
2,2020-01-07 14:30:00+00:00,165.01
2,2020-01-07 15:00:00+00:00,212.75
2,2020-01-07 15:30:00+00:00,165.01
2,2020-01-07 16:00:00+00:00,158.42
2,2020-01-07 16:30:00+00:00,165.01
2,2020-01-07 17:00:00+00:00,187.82
2,2020-01-07 17:30:00+00:00,134.95
2,2020-01-07 18:00:00+00:00,191.46
2,2020-01-07 18:30:00+00:00,191.42
2,2020-01-07 19:00:00+00:00,194.45
2,2020-01-07 19:30:00+00:00,191.43
2,2020-01-07 20:00:00+00:00,191.89
2,2020-01-07 20:30:00+00:00,191.92
2,2020-01-07 21:00:00+00:00,191.8
2,2020-01-07 21:30:00+00:00,162.53
2,2020-01-07 22:00:00+00:00,188.3
2,2020-01-07 22:30:00+00:00,188.3
2,2020-01-07 23:00:00+00:00,165.01
2,2020-01-07 23:30:00+00:00,165.01
1,2020-01-08 00:00:00+00:00,163.54
1,2020-01-08 00:30:00+00:00,155.38
1,2020-01-08 01:00:00+00:00,153.57
1,2020-01-08 01:30:00+00:00,146.86
1,2020-01-08 02:00:00+00:00,139.74
1,2020-01-08 02:30:00+00:00,121.09
1,2020-01-08 03:00:00+00:00,126.96
1,2020-01-08 03:30:00+00:00,121.09
1,2020-01-08 04:00:00+00:00,139.27
1,2020-01-08 04:30:00+00:00,140.62
1,2020-01-08 05:00:00+00:00,158.8
1,2020-01-08 05:30:00+00:00,139.59
